7: Kazalniki bolniškega staleža po spolu in starosti, Slovenija, letno po spremenljivkah: Leto, Spol, Starost in Kazalnik;;;;;;;;
;;;;;;;;
;;;Primeri;Koledarski dnevi;Odstotek BS (% BS);Izgubljeni koledarski dnevi na zaposlenega (IO);Število primerov na 100 zaposlenih (IF);Povpre?no trajanje ene odsotnosti (R)
;;20 do 24 let;12023;173381;3;12;83;14
;;25 do 29 let;51583;773985;4;16;104;15
;;30 do 34 let;79907;1062305;5;18;133;13
;;35 do 39 let;73006;918050;4;15;121;13
;;40 do 44 let;62033;1022372;4;16;95;17
;;45 do 49 let;52747;1199595;5;20;87;23
;;50 do 54 let;44921;1193667;6;24;88;27
;;55 do 59 let;11971;339856;7;27;94;28
;;60 do 64 let;653;16138;5;18;71;25
;;65 do 69 let;63;1283;2;8;40;20
;;70 in ve? let;6;343;4;16;27;57
;;Neznano;6;29;-;-;-;-
2007;Spol - SKUPAJ;Starost-SKUPAJ;788895;14095263;4;16;90;18
;;15 do 19 let;2352;24390;2;6;60;10
;;20 do 24 let;41074;514777;3;11;87;13
;;25 do 29 let;106452;1468529;4;13;94;14
;;30 do 34 let;147679;1879370;4;14;112;13
;;35 do 39 let;134361;1804151;4;14;105;13
;;40 do 44 let;118113;1967120;4;14;86;17
;;45 do 49 let;99625;2241265;5;17;77;23
;;50 do 54 let;89903;2506220;6;22;77;28
;;55 do 59 let;43741;1475187;7;25;75;34
;;60 do 64 let;5244;202799;6;23;60;39
;;65 do 69 let;304;10248;3;11;31;34
;;70 in ve? let;29;1097;2;6;16;38
;;Neznano;18;110;-;-;-;-
;Moški;Starost-SKUPAJ;339044;6765856;4;14;69;20
;;15 do 19 let;1865;19497;2;6;60;11
;;20 do 24 let;26517;314885;3;10;82;12
;;25 do 29 let;47387;617905;3;10;75;13
;;30 do 34 let;53360;709737;3;10;75;13
;;35 do 39 let;49060;732159;3;11;72;15
;;40 do 44 let;46577;897192;3;13;65;19
;;45 do 49 let;42093;1024716;4;15;61;24
;;50 do 54 let;39527;1202730;5;19;63;30
;;55 do 59 let;28185;1059076;7;25;66;38
;;60 do 64 let;4228;178247;6;24;56;42
;;65 do 69 let;213;8623;3;11;27;41
;;70 in ve? let;23;1038;2;7;15;45
;;Neznano;9;51;-;-;-;-
;Ženske;Starost-SKUPAJ;449851;7329407;5;19;117;16
;;15 do 19 let;487;4893;2;6;61;10
;;20 do 24 let;14557;199892;4;13;97;14
;;25 do 29 let;59065;850624;5;17;117;14
;;30 do 34 let;94319;1169633;5;19;154;12
;;35 do 39 let;85301;1071992;5;18;143;13
;;40 do 44 let;71536;1069928;4;16;109;15
;;45 do 49 let;57532;1216549;5;20;94;21
;;50 do 54 let;50376;1303490;7;25;95;26
;;55 do 59 let;15556;416111;7;27;99;27
;;60 do 64 let;1016;24552;6;21;85;24
;;65 do 69 let;91;1625;2;9;49;18
;;70 in ve? let;6;59;1;2;20;10
;;Neznano;9;59;-;-;-;-
2008;Spol - SKUPAJ;Starost-SKUPAJ;739834;13894657;4;16;83;19
;;15 do 19 let;2032;20105;2;6;58;10
;;20 do 24 let;38393;492381;3;10;81;13
;;25 do 29 let;99787;1367230;3;12;86;14
;;30 do 34 let;141023;1864601;4;14;103;13
;;35 do 39 let;127453;1714428;4;13;98;14
;;40 do 44 let;108259;1911760;4;14;79;18
;;45 do 49 let;92086;2221996;5;17;70;24
;;50 do 54 let;82166;2499614;6;21;70;30
;;55 do 59 let;42735;1547484;7;25;68;36
;;60 do 64 let;5520;237594;6;23;54;43
;;65 do 69 let;332;15303;4;14;30;46
;;70 in ve? let;42;2118;3;9;18;50
;;Neznano;6;43;-;-;-;-
;Moški;Starost-SKUPAJ;313831;6638221;2;9;40;21
;;15 do 19 let;1576;15743;2;6;56;10
;;20 do 24 let;24537;305596;3;9;74;13
;;25 do 29 let;43883;570859;2;9;68;13
;;30 do 34 let;51392;704985;3;10;69;14
;;35 do 39 let;45801;704665;3;10;66;15
;;40 do 44 let;41842;855355;3;12;58;20
;;45 do 49 let;38338;1020340;4;15;55;27
;;50 do 54 let;35380;1196383;5;19;56;34
;;55 do 59 let;26457;1050518;6;23;59;40
;;60 do 64 let;4375;200627;6;23;50;46
;;65 do 69 let;214;11176;3;12;24;52
;;70 in ve? let;33;1941;3;10;17;59
;;Neznano;3;33;-;-;-;-
;Ženske;Starost-SKUPAJ;426003;7256436;5;19;109;17
