4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Gospodarske dejavnosti po SKD, Kazalnik, Leto in Spol;;;
;;;
;;;Spol - SKUPAJ
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;-
U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;-
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;13
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;12
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;13
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;12
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;13
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;14
A01 Kmetijska proizvodnja in lov ter z njima povezane storitve;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;16
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;18
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;17
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;18
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;23
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;20
A02 Gozdarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;17
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;9
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;5
